%time vcc icc nReset externalCircuitry.v_cap externalCircuitry.keepAlive externalCircuitry.i_supply
0.00638 3.92271081431 5.35937511389e-05 1 3.92271081431 0 0
0.00639 3.92249842989 4.31541441224e-05 1 3.92249842989 0 0
0.0064 3.92233120914 4.3155983913e-05 1 3.92233120914 0 0
0.00641 3.92218620033 4.85522768827e-05 1 3.92218620033 0 0
0.00642 3.92204118759 3.74207551799e-05 1 3.92204118759 0 0
0.00643 3.92188469339 5.86566157144e-05 1 3.92188469339 0 0
0.00644 3.92175188327 8.59709910271e-05 1 3.92175188327 0 0
0.00645 3.92157389047 7.51889030561e-05 1 3.92157389047 0 0
0.00646 3.92133778198 7.55370149686e-05 1 3.92133778198 0 0
0.00647 3.9211246141 8.02475276441e-05 1 3.9211246141 0 0
0.00648 3.92091070556 8.59894349262e-05 1 3.92091070556 0 0
0.00649 3.92068677465 7.38313487127e-05 1 3.92068677465 0 0
0.0065 3.92045062691 6.40726119738e-05 1 3.92045062691 0 0
0.00651 3.92024034745 4.24890938085e-05 1 3.92024034745 0 0
0.00652 3.92005083125 4.72013890502e-05 1 3.92005083125 0 0
0.00653 3.91990723744 6.40814939144e-05 1 3.91990723744 0 0
0.00654 3.91975361746 6.37428277092e-05 1 3.91975361746 0 0
0.00655 3.91956408237 7.52249111141e-05 1 3.91956408237 0 0
0.00656 3.91937526784 4.85870980374e-05 1 3.91937526784 0 0
0.00657 3.91916202335 4.31908815086e-05 1 3.91916202335 0 0
0.00658 3.91900545505 4.31926070287e-05 1 3.91900545505 0 0
0.00659 3.91886036807 4.85934819049e-05 1 3.91886036807 0 0
0.0066 3.91871527742 4.79051052208e-05 1 3.91871527742 0 0
0.00661 3.91855869554 8.03000746739e-05 1 3.91855869554 0 0
0.00662 3.9184035783 4.3199241523e-05 1 3.9184035783 0 0
0.00663 3.91817953559 4.32017116689e-05 1 3.91817953559 0 0
0.00664 3.91803443082 4.86037256044e-05 1 3.91803443082 0 0
0.00665 3.91788932079 4.32049118042e-05 1 3.91788932079 0 0
0.00666 3.91773271712 3.74619081198e-05 1 3.91773271712 0 0
0.00667 3.91758760029 8.03199795311e-05 1 3.91758760029 0 0
0.00668 3.91745470261 6.95228254764e-05 1 3.91745470261 0 0
0.00669 3.91723061755 8.64167112049e-05 1 3.91723061755 0 0
0.0067 3.91702950515 7.52761342977e-05 1 3.91702950515 0 0
0.00671 3.91679244832 8.60798473281e-05 1 3.91679244832 0 0
0.00672 3.91657909484 7.99966594885e-05 1 3.91657909484 0 0
0.00673 3.91634275474 5.77075507738e-05 1 3.91634275474 0 0
0.00674 3.91611935759 8.60946424713e-05 1 3.91611935759 0 0
0.00675 3.91594338408 6.44904174212e-05 1 3.91594338408 0 0
0.00676 3.9157070125 6.95538554676e-05 1 3.9157070125 0 0
0.00677 3.91551660736 7.53026712102e-05 1 3.91551660736 0 0
0.00678 3.91531542894 4.86374785991e-05 1 3.91531542894 0 0
0.00679 3.915102019 4.32356709332e-05 1 3.915102019 0 0
0.0068 3.91494534352 4.32374012178e-05 1 3.91494534352 0 0
0.00681 3.91480016124 4.86438802852e-05 1 3.91480016124 0 0
0.00682 3.91465497528 4.32406083377e-05 1 3.91465497528 0 0
0.00683 3.91449828617 4.32423391681e-05 1 3.91449828617 0 0
0.00684 3.91435309339 4.86494360219e-05 1 3.91435309339 0 0
0.00685 3.91420789692 4.32455472527e-05 1 3.91420789692 0 0
0.00686 3.91405119599 4.32472786091e-05 1 3.91405119599 0 0
0.00687 3.9139059927 4.29020962293e-05 1 3.9139059927 0 0
0.00688 3.91376078573 7.43062542732e-05 1 3.91376078573 0 0
0.00689 3.91361631318 7.49975224789e-05 1 3.91361631318 0 0
0.0069 3.91340502328 6.99390504253e-05 1 3.91340502328 0 0
0.00691 3.91319226259 9.19104381561e-05 1 3.91319226259 0 0
0.00692 3.91299026461 7.50095215099e-05 1 3.91299026461 0 0
0.00693 3.912741519 6.96065708094e-05 1 3.912741519 0 0
0.00694 3.91252873278 8.07681908824e-05 1 3.91252873278 0 0
0.00695 3.91232744221 7.0302689889e-05 1 3.91232744221 0 0
0.00696 3.9121024035 7.46821492974e-05 1 3.9121024035 0 0
0.00697 3.91189963182 8.04367661446e-05 1 3.91189963182 0 0
